"Profile.Sampling.Location"	"Depth"	"Temperature"	"Water_Density"	"RTRM_OUTPUT"
"1"	"L1"	0	19.37	0.998361495639515	2.70273703009367
"2"	"L1"	1	19.26	0.998383387809458	4.14552794899269
"3"	"L1"	2	19.09	0.998416966585845	2.42066912810738
"4"	"L1"	3	18.99	0.998436574005782	0.964551522759811
"5"	"L1"	4	18.95	0.998444386873117	4.55255078396472
"6"	"L1"	5	18.76	0.998481262534467	66.343595276581
"7"	"L1"	6	15.71	0.999018645656204	16.7086495626012
"8"	"L1"	7	14.83	0.99915398571766	11.4424512782377
"9"	"L1"	8	14.19	0.999246669573014	2.25028465385399
"10"	"L1"	9	14.06	0.99926489687871	5.43181000109154
"11"	"L1"	9.5	13.74	0.999308894539718	1.9973811191128
"12"	"L1"	10	13.62	0.999325073326783	3.28077764570312
"13"	"L1"	10.2	13.42	0.999351647625713	0
"14"	"L2"	0	19.44	0.998347497040954	2.71288108174178
"15"	"L2"	1	19.33	0.998369471377716	9.97084495999896
"16"	"L2"	2	18.92	0.998450235221892	7.62690214447932
"17"	"L2"	3	18.6	0.998512013129262	16.2044080507475
"18"	"L2"	4	17.9	0.998643268834472	12.26497297721
"19"	"L2"	5	17.35	0.998742615115587	23.0708673541938
"20"	"L2"	6	16.26	0.998929489141155	6.25682127219253
"21"	"L2"	7	15.95	0.998980169393459	26.3596052679521
"22"	"L2"	8	14.56	0.999193682196128	15.058617799298
"23"	"L2"	8.5	13.69	0.999315657000302	1.8234904562826
"24"	"L2"	9	13.58	0.999330427272998	0
"25"	"L3"	0	19.51	0.998333446256175	1.2397032733085
"26"	"L3"	1	19.46	0.998343487852689	0.247546485149852
"27"	"L3"	2	19.45	0.998345492979219	0
"28"	"L3"	3	19.45	0.998345492979219	0.247415029069262
"29"	"L3"	4	19.44	0.998347497040954	0
"30"	"L3"	5	19.44	0.998347497040954	49.6558186522822
"31"	"L3"	6	17.31	0.998749709172035	36.9041586749997
"32"	"L3"	7	15.52	0.999048632857301	20.4063198936729
"33"	"L3"	7.5	14.42	0.999213924048439	0
"34"	"L4"	0	19.23	0.998389335961343	4.86518138605851
"35"	"L4"	1	19.03	0.99842874393057	18.6964466593453
"36"	"L4"	2	18.24	0.99858018514851	14.0838328288549
"37"	"L4"	3	17.62	0.998694264194423	6.18840854473379
"38"	"L4"	4	17.34	0.998744390303635	8.01177891440084
"39"	"L4"	5	16.97	0.998809285712841	8.44739290803175
"40"	"L4"	6	16.57	0.998877709595396	0
"41"	"L5"	0	19.74	0.998286912934612	5.74485451397026
"42"	"L5"	1	19.51	0.998333446256175	5.43009613908997
"43"	"L5"	2	19.29	0.998377430034902	34.1776887255313
"44"	"L5"	3	17.84	0.998654269313577	15.0473245439958
"45"	"L5"	4	17.16	0.998776152642383	13.3703305964102
"46"	"L5"	5	16.53	0.998884452320213	0
