Station,Month,Depth,Temperature2,RTRM,,TEMP,O2 Saturation,Density,RVG
Mid-Lake,3,0,8.8,0,,0,14.621,0.9998679,1.8
Mid-Lake,3,1,8.6,1.664197531,,0.1,14.5805,0.99987378,1.795
Mid-Lake,3,2,8.6,0,,0.2,14.54,0.99987966,1.79
Mid-Lake,3,3,8.5,0.832098765,,0.3,14.4995,0.99988554,1.785
Mid-Lake,3,4,8.5,0,,0.4,14.459,0.99989142,1.78
Mid-Lake,3,5,8.5,0,,0.6,14.378,0.99990318,1.77
Mid-Lake,3,6,8.5,0,,0.7,14.3375,0.99990906,1.765
Mid-Lake,3,7,8.5,0,,0.8,14.297,0.99991494,1.76
Mid-Lake,3,8,8.4,0.832098765,,0.9,14.2565,0.99992082,1.755
Mid-Lake,3,9,8.4,0,,1,14.216,0.9999267,1.75
Mid-Lake,3,10,8.4,0,,1.1,14.1773,0.99993082,1.745
Mid-Lake,3,11,8.4,0,,1.2,14.1386,0.99993494,1.74
Mid-Lake,3,12,8.4,0,,1.3,14.0999,0.99993906,1.735
Mid-Lake,3,13,8.3,0.832098765,,1.4,14.0612,0.99994318,1.73
Mid-Lake,3,14,8.3,0,,1.5,14.0225,0.9999473,1.725
Mid-Lake,3,15,8.3,0,,1.6,13.9838,0.99995142,1.72
Mid-Lake,3,16,8.3,0,,1.7,13.9451,0.99995554,1.715
Mid-Lake,3,17,8.3,0,,1.8,13.9064,0.99995966,1.71
Mid-Lake,3,18,8.3,0,,1.9,13.8677,0.99996378,1.705
Mid-Lake,3,19,8.3,0,,2,13.829,0.9999679,1.7
Mid-Lake,3,20,8.3,0,,2.1,13.7921,0.99997033,1.695
Mid-Lake,3,21,8.3,0,,2.2,13.7552,0.99997276,1.69
Mid-Lake,3,22,8.3,0,,2.3,13.7183,0.99997519,1.685
Mid-Lake,3,23,8.3,0,,2.4,13.6814,0.99997762,1.68
Mid-Lake,3,24,8.3,0,,2.5,13.6445,0.99998005,1.675
Mid-Lake,3,25,8.2,0.832098765,,2.6,13.6076,0.99998248,1.67
Mid-Lake,3,26,8.2,0,,2.7,13.5707,0.99998491,1.665
Mid-Lake,3,27,8.2,0,,2.8,13.5338,0.99998734,1.66
Mid-Lake,3,28,8.2,0,,2.9,13.4969,0.99998977,1.655
Mid-Lake,3,29,8.2,0,,3,13.46,0.9999922,1.65
Mid-Lake,3,30,8.2,0,,3.1,13.4247,0.99999298,1.645
Mid-Lake,3,31,8.2,0,,3.2,13.3894,0.99999376,1.64
Mid-Lake,3,32,8.2,0,,3.3,13.3541,0.99999454,1.635
Mid-Lake,3,33,8.2,0,,3.4,13.3188,0.99999532,1.63
Mid-Lake,3,34,8.2,0,,3.5,13.2835,0.9999961,1.625
Mid-Lake,3,35,8.2,0,,3.6,13.2482,0.99999688,1.62
Mid-Lake,3,36,8.2,0,,3.7,13.2129,0.99999766,1.615
Mid-Lake,3,37,8.2,0,,3.8,13.1776,0.99999844,1.61
Mid-Lake,3,38,8.2,0,,3.9,13.1423,0.99999922,1.605
Mid-Lake,3,39,8.1,0.832098765,,4,13.107,1,1.6
Mid-Lake,3,40,8.1,0,,4.1,13.0733,0.99999919,1.595
Mid-Lake,3,41,8.1,0,,4.2,13.0396,0.99999838,1.59
Mid-Lake,3,42,8.1,0,,4.3,13.0059,0.99999757,1.585
Mid-Lake,3,43,8.1,0,,4.4,12.9722,0.99999676,1.58
Mid-Lake,3,44,8.1,0,,4.5,12.9385,0.99999595,1.575
Mid-Lake,3,45,8.1,0,,4.6,12.9048,0.99999514,1.57
Mid-Lake,3,46,8.1,0,,4.7,12.8711,0.99999433,1.565
Mid-Lake,3,47,8.1,0,,4.8,12.8374,0.99999352,1.56
Mid-Lake,3,48,8.1,0,,4.9,12.8037,0.99999271,1.555
Mid-Lake,3,49,8.1,0,,5,12.77,0.9999919,1.55
Mid-Lake,3,50,8.1,0,,5.1,12.737,0.99998952,1.545
Mid-Lake,3,51,8.1,0,,5.2,12.704,0.99998714,1.54
Mid-Lake,3,52,8.1,0,,5.3,12.671,0.99998476,1.535
Mid-Lake,3,53,8,0.832098765,,5.4,12.638,0.99998238,1.53
Mid-Lake,3,54,8,0,,5.5,12.605,0.99998,1.525
Mid-Lake,4,0,12.6,0,,5.6,12.572,0.99997762,1.52
Mid-Lake,4,1,12.4,2.980246914,,5.7,12.539,0.99997524,1.515
Mid-Lake,4,2,12.2,2.980246914,,5.8,12.506,0.99997286,1.51
Mid-Lake,4,3,11.8,5.649382716,,5.9,12.473,0.99997048,1.505
Mid-Lake,4,4,11.6,2.669135802,,6,12.44,0.9999681,1.5
Mid-Lake,4,5,11.4,2.669135802,,6.1,12.4099,0.99996424,1.495
Mid-Lake,4,6,11.1,4.003703704,,6.2,12.3798,0.99996038,1.49
Mid-Lake,4,7,11,1.334567901,,6.3,12.3497,0.99995652,1.485
Mid-Lake,4,8,10.7,3.514814815,,6.4,12.3196,0.99995266,1.48
Mid-Lake,4,9,10.5,2.343209877,,6.5,12.2895,0.9999488,1.475
Mid-Lake,4,10,10.2,3.514814815,,6.6,12.2594,0.99994494,1.47
Mid-Lake,4,11,10.1,1.171604938,,6.7,12.2293,0.99994108,1.465
Mid-Lake,4,12,9.9,2.172839506,,6.8,12.1992,0.99993722,1.46
Mid-Lake,4,13,9.8,1.001234568,,6.9,12.1691,0.99993336,1.455
Mid-Lake,4,14,9.6,2.002469136,,7,12.139,0.9999295,1.45
Mid-Lake,4,15,9.5,1.001234568,,7.1,12.1094,0.99992417,1.445
Mid-Lake,4,16,9.4,1.001234568,,7.2,12.0798,0.99991884,1.44
Mid-Lake,4,17,9.3,1.001234568,,7.3,12.0502,0.99991351,1.435
Mid-Lake,4,18,9.2,1.001234568,,7.4,12.0206,0.99990818,1.43
Mid-Lake,4,19,9.1,1.001234568,,7.5,11.991,0.99990285,1.425
Mid-Lake,4,20,9,1.001234568,,7.6,11.9614,0.99989752,1.42
Mid-Lake,4,21,9,0,,7.7,11.9318,0.99989219,1.415
Mid-Lake,4,22,8.9,0.832098765,,7.8,11.9022,0.99988686,1.41
Mid-Lake,4,23,8.8,0.832098765,,7.9,11.8726,0.99988153,1.405
Mid-Lake,4,24,8.8,0,,8,11.843,0.9998762,1.4
Mid-Lake,4,25,8.7,0.832098765,,8.1,11.8146,0.99986946,1.39571
Mid-Lake,4,26,8.7,0,,8.2,11.7862,0.99986272,1.391429
Mid-Lake,4,27,8.6,0.832098765,,8.3,11.7578,0.99985598,1.387148
Mid-Lake,4,28,8.6,0,,8.4,11.7294,0.99984924,1.382867
Mid-Lake,4,29,8.6,0,,8.5,11.701,0.9998425,1.378586
Mid-Lake,4,30,8.6,0,,8.6,11.6726,0.99983576,1.374305
Mid-Lake,4,31,8.5,0.832098765,,8.7,11.6442,0.99982902,1.370024
Mid-Lake,4,32,8.5,0,,8.8,11.6158,0.99982228,1.365743
Mid-Lake,4,33,8.5,0,,8.9,11.5874,0.99981554,1.361462
Mid-Lake,4,34,8.5,0,,9,11.559,0.9998088,1.357181
Mid-Lake,4,35,8.4,0.832098765,,9.1,11.5319,0.99980069,1.3529
Mid-Lake,4,36,8.4,0,,9.2,11.5048,0.99979258,1.348619
Mid-Lake,4,37,8.4,0,,9.3,11.4777,0.99978447,1.344338
Mid-Lake,4,38,8.4,0,,9.4,11.4506,0.99977636,1.340057
Mid-Lake,4,39,8.4,0,,9.5,11.4235,0.99976825,1.335776
Mid-Lake,4,40,8.3,0.832098765,,9.6,11.3964,0.99976014,1.331495
Mid-Lake,4,41,8.3,0,,9.7,11.3693,0.99975203,1.327214
Mid-Lake,4,42,8.3,0,,9.8,11.3422,0.99974392,1.322933
Mid-Lake,4,43,8.3,0,,9.9,11.3151,0.99973581,1.318652
Mid-Lake,4,44,8.3,0,,10,11.288,0.9997277,1.314371
Mid-Lake,4,45,8.3,0,,10.1,11.2619,0.99971821,1.31009
Mid-Lake,4,46,8.3,0,,10.2,11.2358,0.99970872,1.305809
Mid-Lake,4,47,8.3,0,,10.3,11.2097,0.99969923,1.301528
Mid-Lake,4,48,8.3,0,,10.4,11.1836,0.99968974,1.297247
Mid-Lake,4,49,8.2,0.832098765,,10.5,11.1575,0.99968025,1.292966
Mid-Lake,4,50,8.2,0,,10.6,11.1314,0.99967076,1.288685
Mid-Lake,4,51,8.2,0,,10.7,11.1053,0.99966127,1.284404
Mid-Lake,4,52,8.2,0,,10.8,11.0792,0.99965178,1.280123
Mid-Lake,4,53,8.2,0,,10.9,11.0531,0.99964229,1.275842
Mid-Lake,4,54,8.2,0,,11,11.027,0.9996328,1.271561
Mid-Lake,5,0,16.4,0,,11.1,11.002,0.99962199,1.26728
Mid-Lake,5,1,16.4,0,,11.2,10.977,0.99961118,1.262999
Mid-Lake,5,2,16.1,6.218518519,,11.3,10.952,0.99960037,1.258718
Mid-Lake,5,3,16,2.072839506,,11.4,10.927,0.99958956,1.254437
Mid-Lake,5,4,15.8,3.861728395,,11.5,10.902,0.99957875,1.250156
Mid-Lake,5,5,15.7,1.930864198,,11.6,10.877,0.99956794,1.245875
Mid-Lake,5,6,15.4,5.792592593,,11.7,10.852,0.99955713,1.241594
Mid-Lake,5,7,14.9,9.509876543,,11.8,10.827,0.99954632,1.237313
Mid-Lake,5,8,14.5,7.145679012,,11.9,10.802,0.99953551,1.233032
Mid-Lake,5,9,13.5,17.12962963,,12,10.777,0.9995247,1.228751
Mid-Lake,5,10,13.1,6.558024691,,12.1,10.753,0.99951263,1.22447
Mid-Lake,5,11,12.3,12.07037037,,12.2,10.729,0.99950056,1.220189
Mid-Lake,5,12,11.6,9.808641975,,12.3,10.705,0.99948849,1.215908
Mid-Lake,5,13,11,8.007407407,,12.4,10.681,0.99947642,1.211627
Mid-Lake,5,14,10.7,3.514814815,,12.5,10.657,0.99946435,1.207346
Mid-Lake,5,15,10.3,4.686419753,,12.6,10.633,0.99945228,1.203065
Mid-Lake,5,16,10,3.514814815,,12.7,10.609,0.99944021,1.198784
Mid-Lake,5,17,9.8,2.002469136,,12.8,10.585,0.99942814,1.194503
Mid-Lake,5,18,9.6,2.002469136,,12.9,10.561,0.99941607,1.190222
Mid-Lake,5,19,9.5,1.001234568,,13,10.537,0.999404,1.185941
Mid-Lake,5,20,9.3,2.002469136,,13.1,10.5139,0.99939072,1.18166
Mid-Lake,5,21,9.2,1.001234568,,13.2,10.4908,0.99937744,1.177379
Mid-Lake,5,22,9.1,1.001234568,,13.3,10.4677,0.99936416,1.173098
Mid-Lake,5,23,9,1.001234568,,13.4,10.4446,0.99935088,1.168817
Mid-Lake,5,24,8.9,0.832098765,,13.5,10.4215,0.9993376,1.164536
Mid-Lake,5,25,8.9,0,,13.6,10.3984,0.99932432,1.160255
Mid-Lake,5,26,8.8,0.832098765,,13.7,10.3753,0.99931104,1.155974
Mid-Lake,5,27,8.8,0,,13.8,10.3522,0.99929776,1.151693
Mid-Lake,5,28,8.7,0.832098765,,13.9,10.3291,0.99928448,1.147412
Mid-Lake,5,29,8.7,0,,14,10.306,0.9992712,1.143131
Mid-Lake,5,30,8.6,0.832098765,,14.1,10.2838,0.99925673,1.13885
Mid-Lake,5,31,8.6,0,,14.2,10.2616,0.99924226,1.134569
Mid-Lake,5,32,8.6,0,,14.3,10.2394,0.99922779,1.130288
Mid-Lake,5,33,8.5,0.832098765,,14.4,10.2172,0.99921332,1.126007
Mid-Lake,5,34,8.5,0,,14.5,10.195,0.99919885,1.121726
Mid-Lake,5,35,8.5,0,,14.6,10.1728,0.99918438,1.117445
Mid-Lake,5,36,8.5,0,,14.7,10.1506,0.99916991,1.113164
Mid-Lake,5,37,8.4,0.832098765,,14.8,10.1284,0.99915544,1.108883
Mid-Lake,5,38,8.4,0,,14.9,10.1062,0.99914097,1.104602
Mid-Lake,5,39,8.4,0,,15,10.084,0.9991265,1.1
Mid-Lake,5,40,8.4,0,,15.1,10.0626,0.99911086,1.098
Mid-Lake,5,41,8.4,0,,15.2,10.0412,0.99909522,1.096
Mid-Lake,5,42,8.4,0,,15.3,10.0198,0.99907958,1.094
Mid-Lake,5,43,8.3,0.832098765,,15.4,9.9984,0.99906394,1.02
Mid-Lake,5,44,8.3,0,,15.5,9.977,0.9990483,1.09
Mid-Lake,5,45,8.3,0,,15.6,9.9556,0.99903266,1.088
Mid-Lake,5,46,8.3,0,,15.7,9.9342,0.99901702,1.086
Mid-Lake,5,47,8.3,0,,15.8,9.9128,0.99900138,1.084
Mid-Lake,5,48,8.3,0,,15.9,9.8914,0.99898574,1.082
Mid-Lake,5,49,8.3,0,,16,9.87,0.9989701,1.08
Mid-Lake,5,50,8.3,0,,16.1,9.8495,0.99895331,1.078
Mid-Lake,5,51,8.3,0,,16.2,9.829,0.99893652,1.076
Mid-Lake,5,52,8.3,0,,16.3,9.8085,0.99891973,1.074
Mid-Lake,5,53,8.2,0.832098765,,16.4,9.788,0.99890294,1.072
Mid-Lake,5,54,8.2,0,,16.5,9.7675,0.99888615,1.07
Mid-Lake,6,0,18.4,0,,16.6,9.747,0.99886936,1.068
Mid-Lake,6,1,18.2,4.693827161,,16.7,9.7265,0.99885257,1.066
Mid-Lake,6,2,18.2,0,,16.8,9.706,0.99883578,1.064
Mid-Lake,6,3,17.8,9.113580247,,16.9,9.6855,0.99881899,1.062
Mid-Lake,6,4,17.8,0,,17,9.665,0.9988022,1.06
Mid-Lake,6,5,17.6,4.419753086,,17.1,9.6452,0.9987843,1.058
Mid-Lake,6,6,17.3,6.62962963,,17.2,9.6254,0.9987664,1.056
Mid-Lake,6,7,17.2,2.209876543,,17.3,9.6056,0.9987485,1.054
Mid-Lake,6,8,16.9,6.492592593,,17.4,9.5858,0.9987306,1.052
Mid-Lake,6,9,16.7,4.145679012,,17.5,9.566,0.9987127,1.05
Mid-Lake,6,10,16.2,10.36419753,,17.6,9.5462,0.9986948,1.048
Mid-Lake,6,11,15.6,11.8691358,,17.7,9.5264,0.9986769,1.046
Mid-Lake,6,12,14.7,16.94444444,,17.8,9.5066,0.998659,1.044
Mid-Lake,6,13,13.9,14.14444444,,17.9,9.4868,0.9986411,1.042
Mid-Lake,6,14,12.7,19.22592593,,18,9.467,0.9986232,1.04
Mid-Lake,6,15,12,10.4308642,,18.1,9.4479,0.99860419,1.038
Mid-Lake,6,16,11.1,12.01111111,,18.2,9.4288,0.99858518,1.036
Mid-Lake,6,17,10.7,4.849382716,,18.3,9.4097,0.99856617,1.034
Mid-Lake,6,18,10.2,5.858024691,,18.4,9.3906,0.99854716,1.032
Mid-Lake,6,19,9.9,3.344444444,,18.5,9.3715,0.99852815,1.03
Mid-Lake,6,20,9.7,2.002469136,,18.6,9.3524,0.99850914,1.028
Mid-Lake,6,21,9.5,2.002469136,,18.7,9.3333,0.99849013,1.026
Mid-Lake,6,22,9.4,1.001234568,,18.8,9.3142,0.99847112,1.024
Mid-Lake,6,23,9.3,1.001234568,,18.9,9.2951,0.99845211,1.022
Mid-Lake,6,24,9.2,1.001234568,,19,9.276,0.9984331,1.02
Mid-Lake,6,25,9.1,1.001234568,,19.1,9.2576,0.99841302,1.018
Mid-Lake,6,26,9,1.001234568,,19.2,9.2392,0.99839294,1.016
Mid-Lake,6,27,8.9,0.832098765,,19.3,9.2208,0.99837286,1.014
Mid-Lake,6,28,8.9,0,,19.4,9.2024,0.99835278,1.012
Mid-Lake,6,29,8.8,0.832098765,,19.5,9.184,0.9983327,1.01
Mid-Lake,6,30,8.7,0.832098765,,19.6,9.1656,0.99831262,1.008
Mid-Lake,6,31,8.7,0,,19.7,9.1472,0.99829254,1.006
Mid-Lake,6,32,8.7,0,,19.8,9.1288,0.99827246,1.004
Mid-Lake,6,33,8.6,0.832098765,,19.9,9.1104,0.99825238,1.002
Mid-Lake,6,34,8.6,0,,20,9.092,0.9982323,1
Mid-Lake,6,35,8.6,0,,20.1,9.0743,0.99821117,0.998
Mid-Lake,6,36,8.5,0.832098765,,20.2,9.0566,0.99819004,0.996
Mid-Lake,6,37,8.5,0,,20.3,9.0389,0.99816891,0.994
Mid-Lake,6,38,8.5,0,,20.4,9.0212,0.99814778,0.992
Mid-Lake,6,39,8.5,0,,20.5,9.0035,0.99812665,0.99
Mid-Lake,6,40,8.5,0,,20.6,8.9858,0.99810552,0.988
Mid-Lake,6,41,8.4,0.832098765,,20.7,8.9681,0.99808439,0.986
Mid-Lake,6,42,8.4,0,,20.8,8.9504,0.99806326,0.984
Mid-Lake,6,43,8.4,0,,20.9,8.9327,0.99804213,0.982
Mid-Lake,6,44,8.4,0,,21,8.915,0.998021,0.98
Mid-Lake,6,45,8.4,0,,21.1,8.8978,0.99799883,0.978
Mid-Lake,6,46,8.4,0,,21.2,8.8806,0.99797666,0.976
Mid-Lake,6,47,8.4,0,,21.3,8.8634,0.99795449,0.974
Mid-Lake,6,48,8.4,0,,21.4,8.8462,0.99793232,0.972
Mid-Lake,6,49,8.3,0.832098765,,21.5,8.829,0.99791015,0.97
Mid-Lake,6,50,8.3,0,,21.6,8.8118,0.99788798,0.968
Mid-Lake,6,51,8.3,0,,21.7,8.7946,0.99786581,0.966
Mid-Lake,6,52,8.3,0,,21.8,8.7774,0.99784364,0.964
Mid-Lake,6,53,8.3,0,,21.9,8.7602,0.99782147,0.962
Mid-Lake,6,54,8.3,0,,22,8.743,0.9977993,0.96
Mid-Lake,7,0,20.9,0,,22.1,8.7265,0.99777611,0.958
Mid-Lake,7,1,20.8,2.608641975,,22.2,8.71,0.99775292,0.956
Mid-Lake,7,2,20.7,2.608641975,,22.3,8.6935,0.99772973,0.954
Mid-Lake,7,3,20.5,5.217283951,,22.4,8.677,0.99770654,0.952
Mid-Lake,7,4,20.4,2.608641975,,22.5,8.6605,0.99768335,0.95
Mid-Lake,7,5,20.3,2.608641975,,22.6,8.644,0.99766016,0.948
Mid-Lake,7,6,20.1,5.217283951,,22.7,8.6275,0.99763697,0.946
Mid-Lake,7,7,19.8,7.566666667,,22.8,8.611,0.99761378,0.944
Mid-Lake,7,8,19.3,12.39506173,,22.9,8.5945,0.99759059,0.942
Mid-Lake,7,9,18.8,12.1308642,,23,8.578,0.9975674,0.94
Mid-Lake,7,10,17.9,20.98518519,,23.1,8.562,0.99754322,0.938
Mid-Lake,7,11,17,19.88888889,,23.2,8.546,0.99751904,0.936
Mid-Lake,7,12,16,20.72839506,,23.3,8.53,0.99749486,0.934
Mid-Lake,7,13,15.1,17.37777778,,23.4,8.514,0.99747068,0.932
Mid-Lake,7,14,14.1,18.00864198,,23.5,8.498,0.9974465,0.93
Mid-Lake,7,15,13.1,16.54197531,,23.6,8.482,0.99742232,0.928
Mid-Lake,7,16,12.1,15.05061728,,23.7,8.466,0.99739814,0.926
Mid-Lake,7,17,11.4,9.497530864,,23.8,8.45,0.99737396,0.924
Mid-Lake,7,18,10.7,8.85308642,,23.9,8.434,0.99734978,0.922
Mid-Lake,7,19,10.3,4.686419753,,24,8.418,0.9973256,0.92
Mid-Lake,7,20,10,3.514814815,,24.1,8.4025,0.99730043,0.918
Mid-Lake,7,21,9.7,3.003703704,,24.2,8.387,0.99727526,0.916
Mid-Lake,7,22,9.6,1.001234568,,24.3,8.3715,0.99725009,0.914
Mid-Lake,7,23,9.4,2.002469136,,24.4,8.356,0.99722492,0.912
Mid-Lake,7,24,9.3,1.001234568,,24.5,8.3405,0.99719975,0.91
Mid-Lake,7,25,9.2,1.001234568,,24.6,8.325,0.99717458,0.908
Mid-Lake,7,26,9.1,1.001234568,,24.7,8.3095,0.99714941,0.906
Mid-Lake,7,27,9,1.001234568,,24.8,8.294,0.99712424,0.904
Mid-Lake,7,28,9,0,,24.9,8.2785,0.99709907,0.902
Mid-Lake,7,29,8.9,0.832098765,,25,8.263,0.9970739,0.9
Mid-Lake,7,30,8.9,0,,25.1,8.248,0.99704779,0.898
Mid-Lake,7,31,8.8,0.832098765,,25.2,8.233,0.99702168,0.896
Mid-Lake,7,32,8.8,0,,25.3,8.218,0.99699557,0.894
Mid-Lake,7,33,8.7,0.832098765,,25.4,8.203,0.99696946,0.892
Mid-Lake,7,34,8.7,0,,25.5,8.188,0.99694335,0.89
Mid-Lake,7,35,8.7,0,,25.6,8.173,0.99691724,0.888
Mid-Lake,7,36,8.6,0.832098765,,25.7,8.158,0.99689113,0.886
Mid-Lake,7,37,8.6,0,,25.8,8.143,0.99686502,0.884
Mid-Lake,7,38,8.6,0,,25.9,8.128,0.99683891,0.882
Mid-Lake,7,39,8.6,0,,26,8.113,0.9968128,0.88
Mid-Lake,7,40,8.5,0.832098765,,26.1,8.0985,0.99678573,0.878
Mid-Lake,7,41,8.5,0,,26.2,8.084,0.99675866,0.876
Mid-Lake,7,42,8.5,0,,26.3,8.0695,0.99673159,0.874
Mid-Lake,7,43,8.5,0,,26.4,8.055,0.99670452,0.872
Mid-Lake,7,44,8.5,0,,26.5,8.0405,0.99667745,0.87
Mid-Lake,7,45,8.4,0.832098765,,26.6,8.026,0.99665038,0.868
Mid-Lake,7,46,8.4,0,,26.7,8.0115,0.99662331,0.866
Mid-Lake,7,47,8.4,0,,26.8,7.997,0.99659624,0.864
Mid-Lake,7,48,8.4,0,,26.9,7.9825,0.99656917,0.862
Mid-Lake,7,49,8.4,0,,27,7.968,0.9965421,0.86
Mid-Lake,7,50,8.4,0,,27.1,7.9539,0.99651412,0.858
Mid-Lake,7,51,8.4,0,,27.2,7.9398,0.99648614,0.856
Mid-Lake,7,52,8.3,0.832098765,,27.3,7.9257,0.99645816,0.854
Mid-Lake,7,53,8.3,0,,27.4,7.9116,0.99643018,0.852
Mid-Lake,7,54,8.3,0,,27.5,7.8975,0.9964022,0.85
Mid-Lake,8,0,22.6,0,,27.6,7.8834,0.99637422,0.848
Mid-Lake,8,1,22.6,0,,27.7,7.8693,0.99634624,0.846
Mid-Lake,8,2,22.4,5.725925926,,27.8,7.8552,0.99631826,0.844
Mid-Lake,8,3,22.4,0,,27.9,7.8411,0.99629028,0.842
Mid-Lake,8,4,22.2,5.725925926,,28,7.827,0.9962623,0.84
Mid-Lake,8,5,22.1,2.862962963,,28.1,7.8134,0.99623342,0.838
Mid-Lake,8,6,22.1,0,,28.2,7.7998,0.99620454,0.836
Mid-Lake,8,7,21.9,5.6,,28.3,7.7862,0.99617566,0.834
Mid-Lake,8,8,21.7,5.474074074,,28.4,7.7726,0.99614678,0.832
Mid-Lake,8,9,21.1,16.42222222,,28.5,7.759,0.9961179,0.83
Mid-Lake,8,10,19.9,31.30246914,,28.6,7.7454,0.99608902,0.828
Mid-Lake,8,11,18.1,43.43333333,,28.7,7.7318,0.99606014,0.826
Mid-Lake,8,12,16.4,36.88271605,,28.8,7.7182,0.99603126,0.824
Mid-Lake,8,13,15.1,25.6691358,,28.9,7.7046,0.99600238,0.822
